id;app_name;app_description;app_short;app_icon;app_path_resource;installation_link;is_installed;app_category_id
1;Elasticsearch;Elasticsearch is a search engine based on the Lucene library. It provides a distributed, multitenant-capable full-text search engine with an HTTP web interface and schema-free JSON documents;APP_ELASTICSEARCH;/assets/icons/logos/elasticsearch.svg;/applications/elasticsearch;https://github.com/prometheus-community/elasticsearch_exporter;fasle;1
2;MongoDB;MongoDB is a source-available cross-platform document-oriented database program. Classified as a NoSQL database program, MongoDB uses JSON-like documents with optional schemas.;APP_MONGO;/assets/icons/logos/mongodb.svg;/applications/mongodb;https://github.com/dcu/mongodb_exporter;fasle;1
3;PostgreSQL;Also known as Postgres, is a free and open-source relational database management system emphasizing extensibility and SQL compliance.;APP_POSTGRES;/assets/icons/logos/postgresql.svg;/applications/postgresql;https://github.com/prometheus-community/postgres_exporter;fasle;1
4;MySQL;An open-source relational database management system.;APP_MYSQL;/assets/icons/logos/mysql.svg;/applications/mysql;https://github.com/rluisr/mysqlrouter_exporter;fasle;1
5;Oracle;Oracle Database is a multi-model database management system produced and marketed by Oracle Corporation. It is a database commonly used for running online transaction processing, data warehousing and mixed database workloads.;APP_ORACLE;/assets/icons/logos/oracle.svg;/applications/oracle;https://github.com/iamseth/oracledb_exporter;fasle;1
6;Redis;Database management system marketed as "NoSQL" as open source software or as a service using cloud computing.;APP_REDIS;/assets/icons/logos/redis.svg;/applications/redis;https://github.com/oliver006/redis_exporter;fasle;1
7;Microsoft SQL Server;Microsoft SQL Server is a relational database management system developed by Microsoft. As a database server, it is a software product with the primary function of storing and retrieving data as requested by other software applications—which may run either on the same computer or on another computer across a network.;APP_MSSQL;/assets/icons/logos/mssql.svg;/applications/mssql;https://github.com/awaragi/prometheus-mssql-exporter;fasle;1
8;Node;Hardware and OS metrics exposed by *NIX kernels;APP_NODE;/assets/icons/logos/linux-tux.svg;/applications/node;https://github.com/prometheus/node_exporter;fasle;2
9;Windows;Hardware and OS metrics exposed by *Windows;APP_WINDOW;/assets/icons/logos/windows.svg;/applications/windows;https://github.com/prometheus-community/windows_exporter;fasle;2
10;Apache;The Apache HTTP Server, colloquially called Apache, is a free and open-source cross-platform web server software.;APP_APACHE;/assets/icons/logos/apache.svg;/applications/apache;https://github.com/Lusitaniae/apache_exporter;fasle;3
11;NGINX metrics;Keep track of NGINX metrics;APP_NGINX;/assets/icons/logos/nginx.svg;/applications/nginx/metrics;https://github.com/knyar/nginx-lua-prometheus;fasle;3
12;NGINX VTS Module;Keep track of NGINX virtual host traffic.;APP_NGINX_VTS;/assets/icons/logos/nginx.svg;/applications/nginx/vts;https://github.com/hnlq715/nginx-vts-exporter;fasle;3
13;AWS ECS;Amazon Elastic Compute Cloud is a part of Amazon.com's cloud-computing platform, Amazon Web Services, that allows users to rent virtual computers on which to run their own computer applications.;APP_AWS_ECS;/assets/icons/logos/aws.svg;/applications/aws/ecs;https://github.com/slok/ecs-exporter;fasle;4
14;AWS Health;AWS Health provides ongoing visibility into your resource performance and the availability of your AWS services and accounts. You can use AWS Health events to learn how service and resource changes might affect your applications running on AWS. AWS Health provides relevant and timely information to help you manage events in progress.;APP_AWS_HEALTH;/assets/icons/logos/aws.svg;/applications/aws/health;https://github.com/Jimdo/aws-health-exporter;fasle;4
15;AWS SQS;Amazon Simple Queue Service is a distributed message queuing service introduced by Amazon.com in late 2004. It supports programmatic sending of messages via web service applications as a way to communicate over the Internet.;APP_AWS_SQS;/assets/icons/logos/aws.svg;/applications/aws/sqs;https://github.com/jmal98/sqs-exporter;fasle;4
17;Azure Health;Microsoft Azure, commonly referred to as Azure, is a cloud computing service created by Microsoft for building, testing, deploying, and managing applications and services through Microsoft-managed data centers;APP_AZURE_HEALTH;/assets/icons/logos/azure.svg;/applications/azure/health;https://github.com/jmal98/sqs-exporter;fasle;4
18;Amazon CloudWatch;Amazon CloudWatch is a monitoring and observability service built for DevOps engineers, developers, site reliability engineers (SREs), and IT managers.;APP_AWS_CLOUDWACTH;/assets/icons/logos/aws.svg;/applications/aws/cloudwatch;https://github.com/prometheus/cloudwatch_exporter;fasle;5
19;Azure Monitor;The Azure Monitor API makes it possible to programmatically retrieve the available default metric definitions, granularity, and metric values. The data can be saved in a separate data store such as Azure SQL Database, Azure Cosmos DB, or Azure Data Lake.;APP_AZURE_MONITOR;/assets/icons/logos/azure.svg;/applications/azure/monitor;https://github.com/RobustPerception/azure_metrics_exporter;fasle;5
20;cAdvisor;cAdvisor (Container Advisor) provides container users an understanding of the resource usage and performance characteristics of their running containers. It is a running daemon that collects, aggregates, processes, and exports information about running containers.;APP_AZURE_CADVISOR;/assets/icons/logos/docker.svg;/applications/cadvisor;https://github.com/google/cadvisor;fasle;5
21;Kubernetes;Kubernetes, also known as K8s, is an open source system for managing containerized applications across multiple hosts. It provides basic mechanisms for deployment, maintenance, and scaling of applications.;APP_AZURE_KUBERNATES;/assets/icons/logos/kubernets.svg;/applications/kubernetes;https://github.com/kubernetes/kubernetes;fasle;7
22;JSON exporter;A prometheus exporter which scrapes remote JSON by JSONPath.;APP_AZURE_JSON;/assets/icons/logos/json.svg;/applications/json;https://github.com/prometheus-community/json_exporter;fasle;6
23;Blackbox exporter;The blackbox exporter allows blackbox probing of endpoints over HTTP, HTTPS, DNS, TCP and ICMP.;APP_AZURE_BLACKBOX;/assets/icons/logos/blackbox.svg;/applications/blackbox;https://github.com/prometheus-community/json_exporter;fasle;6
24;VMWare exporter;Server virtualization with VMware uses software to simulate the hardware and create a virtual computer system. Virtualization allows businesses to run multiple operating systems and applications on a single physical device. Within IT infrastructures, virtual computer systems are known as “virtual machines”.;APP_VM_WARE;/assets/icons/logos/vmware.svg;/applications/vmware;https://github.com/pryorda/vmware_exporter;fasle;7


